use_code,use_desc,is_residential
039,APARTMENT: HIGH RISE (3 STORIES OR GREATER),Y
038,APARTMENT: LOW RISE (BUILT SINCE 1960),Y
037,APARTMENT: WALK UP (BUILT PRIOR TO 1960),Y
041,AUTO DEALER,
042,AUTO REPAIR/BODY SHOP,
031,BRANCH FINANCIAL INSTITUTION,
075,BUSINESS CENTER,
061,CAMP GROUND,
047,CAR WASH,
091,CHURCH,
098,CLUB/UNION HALL/LODGE,
036,CONDOMINIUM OFC OR OTHER COM CONDO,
036,CONDOMINIUM OFC OR OTHER COM CONDO,
045,CONVENIENCE MARKET WITH GAS,
029,CONVENIENCE MARKET WITHOUT GAS,
027,DAY CARE CENTER,
026,DEPARTMENT STORE,
067,DOCK/MARIN,
017,DORMITORY/BOARDING HOUSE,Y
082,DUPLEX,Y
012,DUPLEX,Y
028,ENCLOSED MALL,
069,EVENT CENTER,
090,EXEMPT VACANT LAND,
085,FARM BUILDINGS ONLY,
052,FAST FOOD,
005,"FEDERAL OTHER THAN OFC, SCHOOL, HOSP, PARK",
007,FIRE STATION,
057,GOLF COURSE/DRIVING RANGE,
066,GREENHOUSE/NURSERY,
072,HEAVY MANUFACTURING,
094,HOSPITAL OR CLINIC,
059,HOTEL/MOTEL,
006,LIBRARY,
071,LIGHT MANUFACTURING,
073,LUMBER YARD/SAWMILL,
034,MEDICAL OFFICE (ONE OR TWO STORIES),
035,MEDICAL OFFICE (THREE STORIES OR GREATER),
002,"METRO OTHER THAN OFC, SCHOOL,HOSP, OR PARK",
076,MINERAL PROCESSING,
046,MINI LUBE,
063,MINI WAREHOUSE,
088,MOBILE HOME,Y
018,MOBILE HOME,Y
062,MOBILE HOME PARK,Y
096,MORTUARY/CEMETERY,
099,MUSEUM OR OTHER CULTURAL ORG.,
021,NEIGHBORHOOD SUPERMARKET (FREE STANDING),
053,NIGHTCLUB/LOUNGE,
097,NON-PROFIT CHARITABLE SERVICE,
095,NURSING HOME,
033,OFFICE BLDG (3 OR MORE STORIES),
032,OFFICE BLDG (ONE OR TWO STORIES),
025,ONE STORY GENERAL RETAIL STORE,
078,OPEN STORAGE,
074,PACKING PLANT/FOOD PROCESSING,
001,PARK OR RECREATION,
049,PARKING GARAGE,
048,PARKING LOT,
092,PARSONAGE,
008,POLICE SUB STATION,
014,QUADPLEX,
058,RECORDING STUDIO,
056,RECREATIONAL,
019,RESIDENTIAL COMBO/MISC,Y
015,RESIDENTIAL CONDO,Y
086,RESIDENTIAL CONDO,Y
051,RESTURANT/CAFETERI,
089,RURAL COMBO,
003,"SATELLITE CITY OTHER THAN OFC, SCHOOL, HOSP, PARK",
093,SCHOOL OR COLLEGE,
044,SELF SERVICE STATION (GAS ONLY),
043,SERVICE STATION FULL SERVICE,
023,SHOPPING CENTER,
011,SINGLE FAMILY,Y
081,SINGLE FAMILY,Y
024,SMALL SERVICE SHOP,
064,SMALL WAREHOUSE,
004,"STATE OTHER THAN OFC, SCHOOL, HOSP, OR PARK",
022,STRIP SHOPPING CENTER,
077,TERMINAL/DISTRIBUTION WAREHOUSE,
077,TERMINAL/DISTRIBUTION WARHOUSE,
054,THEATER/AUDITORIUM,
055,TRANSMITTING TOWERS,
013,TRIPLEX,Y
020,VACANT COMMERCIAL LAND,
070,VACANT INDUSTRIAL LAND,
010,VACANT RESIDENTIAL LAND,Y
010,VACANT RESIENTIAL LAND,
80M,VACANT RURAL LAND,
080,VACANT RURAL LAND,
030,VACANT ZONED MULTI FAMILY,Y
065,WHOLESALE OUTLET,
016,ZERO LOT LINE,Y
